signal_date,next_trade_date,symbol,name,industry_name,score,market_rank,candidate_rank,buy_price,buy_price_basis,entry_price_ref_close,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-11-26,,002975.SZ,博杰股份,专用设备制造业,-0.0024229328,,3,76.94,signal_close_ref,76.94,-0.0959177017211914,0.6855424642562866,-0.6290054321289062,1.5117260217666626,1.1930804252624512,0.7293390035629272,1.8371092081069946,2.061000108718872,1.8990505933761597,2.0648293495178223,-0.14523260295391083
2025-11-26,,001389.SZ,广合科技,印制电路板,-0.0027558368,,6,68.59,signal_close_ref,68.59,0.14227010309696198,-0.07901414483785629,0.30574631690979004,0.6674335598945618,-0.07739035040140152,-0.290332168340683,0.06178716570138931,0.3109760284423828,0.44675272703170776,0.3619811534881592,0.227738618850708
2025-11-26,,002600.SZ,领益智造,电子设备与仪器,-0.003057686,,9,13.52,signal_close_ref,13.52,0.19659793376922607,-0.12436167895793915,0.37929028272628784,0.49561911821365356,-0.4227555990219116,-0.1381937563419342,0.012000286020338535,0.2656238079071045,0.2830062210559845,0.34589269757270813,0.04472785443067551
2025-11-26,,601231.SH,环旭电子,计算机、通信和其他电子设备制造业,-0.0031080735,,11,21.67,signal_close_ref,21.67,0.5935817360877991,-0.17912134528160095,0.6621966361999512,0.5891312956809998,-0.5918878316879272,0.10407397150993347,0.6203984618186951,0.6363944411277771,0.635537326335907,0.8001611232757568,0.1435924470424652
2025-11-26,,603127.SH,昭衍新药,研究和试验发展,-0.0031686875,,12,28.31,signal_close_ref,28.31,0.4942275285720825,-0.9912441968917847,0.6345832347869873,0.30967947840690613,-0.2080535739660263,0.575846254825592,0.4238020181655884,-0.00936698168516159,0.1721048206090927,0.19692949950695038,0.6153177618980408
2025-11-26,,002062.SZ,宏润建设,土木工程建筑业,-0.0034992525,,16,9.7,signal_close_ref,9.7,0.35846397280693054,-0.11538131535053253,0.28603941202163696,0.06440228223800659,0.04549773409962654,0.9224224090576172,0.756971001625061,1.012189507484436,0.8005558252334595,1.1583329439163208,-0.26610344648361206
2025-11-26,,600487.SH,XD亨通光,电气机械和器材制造业,-0.0035006688,,17,19.98,signal_close_ref,19.98,0.5764635801315308,-0.2462243288755417,0.7940511107444763,0.7197113037109375,-0.3021935820579529,0.03560428321361542,0.2605345845222473,0.41345685720443726,0.4896232783794403,0.4716520309448242,-0.23431037366390228
2025-11-26,,002173.SZ,创新医疗,卫生,-0.00365982,,20,21.46,signal_close_ref,21.46,0.13533630967140198,-0.4198155999183655,0.09315606951713562,0.37481892108917236,0.4741271734237671,0.24793319404125214,0.3383582830429077,0.35367655754089355,-0.005086504854261875,0.5606837868690491,-0.2565796673297882
2025-11-26,,000006.SZ,深振业Ａ,房地产业,-0.0042042686,,32,10.86,signal_close_ref,10.86,0.6277456283569336,-0.36045634746551514,0.8538797497749329,0.38729730248451233,-0.18399326503276825,0.35087424516677856,0.18469710648059845,0.047545261681079865,0.0614093579351902,0.46273893117904663,-0.08577466756105423
2025-11-26,,600172.SH,黄河旋风,非金属矿物制品业,-0.004313958,,39,6.45,signal_close_ref,6.45,0.841865062713623,-0.2548953592777252,0.8904531002044678,0.6654666066169739,1.3810606002807617,1.4290162324905396,1.350608229637146,1.4226984977722168,1.0145676136016846,1.783368706703186,-0.12067288160324097
