signal_date,next_trade_date,symbol,name,industry_name,score,market_rank,candidate_rank,buy_price,buy_price_basis,entry_price_ref_close,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-11-26,,000807.SZ,云铝股份,有色金属冶炼和压延加工业,-0.003998702,,50,23.95,signal_close_ref,23.95,0.5415890216827393,-0.34192579984664917,-0.5652614235877991,0.4179231822490692,-0.3830309212207794,0.23591198027133942,0.13108915090560913,0.38603413105010986,0.19720183312892914,0.5275985598564148,-0.37453123927116394
2025-11-26,,002941.SZ,新疆交建,土木工程建筑业,-0.00473927,,82,16.61,signal_close_ref,16.61,0.32271403074264526,0.1700681447982788,-0.7062578201293945,0.5150574445724487,0.39016368985176086,1.0438803434371948,1.0751606225967407,1.4470828771591187,1.5679147243499756,1.6356947422027588,-0.26610344648361206
2025-11-26,,600580.SH,卧龙电驱,电气机械和器材制造业,-0.004941387,,89,41.16,signal_close_ref,41.16,0.1736057996749878,-0.43156206607818604,0.532730758190155,0.1317722201347351,0.02330690249800682,0.14898574352264404,-0.16198161244392395,-0.06686059385538101,-0.11056166142225266,0.00360937905497849,-0.23431037366390228
2025-11-26,,600795.SH,国电电力,电力、热力生产和供应业,-0.005247366,,103,5.37,signal_close_ref,5.37,0.24136437475681305,-0.25981247425079346,0.0929441973567009,0.13614152371883392,-0.6560781002044678,-0.09310421347618103,-0.12557803094387054,-0.0018716065678745508,-0.013619844801723957,0.054469604045152664,-0.01360076293349266
2025-11-26,,600522.SH,中天科技,电气机械和器材制造业,-0.005549929,,119,15.88,signal_close_ref,15.88,0.055249616503715515,-0.5620877146720886,0.045043494552373886,0.05881156027317047,-0.4425315856933594,-0.15390034019947052,-0.22141872346401215,0.000384959508664906,0.05568907782435417,0.03261339291930199,-0.23431037366390228
2025-11-26,,002062.SZ,宏润建设,土木工程建筑业,-0.0055977684,,123,9.7,signal_close_ref,9.7,0.35846397280693054,-0.11538131535053253,0.28603941202163696,0.06440228223800659,0.04549773409962654,0.9224224090576172,0.756971001625061,1.012189507484436,0.8005558252334595,1.1583329439163208,-0.26610344648361206
2025-11-26,,002475.SZ,立讯精密,计算机、通信和其他电子设备制造业,-0.0059162173,,139,57.44,signal_close_ref,57.44,1.1703091859817505,0.007271814160048962,1.5301389694213867,1.397387981414795,-0.33159399032592773,0.0008483955170959234,0.26456987857818604,0.511391282081604,0.6395740509033203,0.6110945343971252,0.1435924470424652
2025-11-26,,603019.SH,中科曙光,计算机、通信和其他电子设备制造业,-0.0060119657,,146,97.7,signal_close_ref,97.7,0.9090495705604553,-0.5819619297981262,1.0410358905792236,0.13765811920166016,-0.08412938565015793,0.2545105516910553,0.5400617122650146,0.958548903465271,0.9230908155441284,1.0339268445968628,0.1435924470424652
2025-11-26,,601231.SH,环旭电子,计算机、通信和其他电子设备制造业,-0.0060497005,,151,21.67,signal_close_ref,21.67,0.5935817360877991,-0.17912134528160095,0.6621966361999512,0.5891312956809998,-0.5918878316879272,0.10407397150993347,0.6203984618186951,0.6363944411277771,0.635537326335907,0.8001611232757568,0.1435924470424652
2025-11-26,,000157.SZ,中联重科,专用设备制造业,-0.0061257537,,154,7.95,signal_close_ref,7.95,0.8556900024414062,-0.028828799724578857,0.8521186113357544,0.6443540453910828,-0.5586855411529541,0.37918731570243835,0.0033242502249777317,0.3861461281776428,0.33228516578674316,0.434256911277771,-0.14523260295391083
