signal_date,next_trade_date,symbol,name,industry_name,score,market_rank,candidate_rank,buy_price,buy_price_basis,entry_price_ref_close,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-11-26,,002941.SZ,新疆交建,土木工程建筑业,0.0022434301,,6,16.61,signal_close_ref,16.61,0.326354056596756,0.17782364785671234,-0.703371524810791,0.519821286201477,0.32795250415802,1.1187254190444946,1.0416516065597534,1.401125431060791,1.515823245048523,1.608417272567749,-0.25718533992767334
2025-11-26,,600509.SH,天富能源,电力、热力生产和供应业,0.0021885962,,7,8.61,signal_close_ref,8.61,0.33309295773506165,0.0967417061328888,0.3437456488609314,0.34944409132003784,-0.023579232394695282,0.33054691553115845,0.270972341299057,0.011350365355610847,0.24675051867961884,0.22987477481365204,-0.008684156462550163
2025-11-26,,002062.SZ,宏润建设,土木工程建筑业,0.002070656,,10,9.7,signal_close_ref,9.7,0.3621760308742523,-0.10528949648141861,0.2899998426437378,0.07086660712957382,0.0034149521961808205,0.9883716702461243,0.7320961952209473,0.9787783622741699,0.7721019983291626,1.138852834701538,-0.25718533992767334
2025-11-26,,002600.SZ,领益智造,电子设备与仪器,0.0019892862,,14,13.52,signal_close_ref,13.52,0.1999838799238205,-0.11419635266065598,0.3833516538143158,0.5004563331604004,-0.4374924898147583,-0.14992505311965942,0.00734024029225111,0.2537505328655243,0.2704949378967285,0.33968326449394226,0.0487201102077961
2025-11-26,,000528.SZ,柳    工,专用设备制造业,0.0018557531,,17,12.04,signal_close_ref,12.04,2.419928789138794,1.3428562879562378,1.1475608348846436,2.138967514038086,0.3587389886379242,4.025266647338867,5.123237133026123,5.8810272216796875,5.251287937164307,4.2288594245910645,-0.1898501217365265
2025-11-26,,000425.SZ,徐工机械,专用设备制造业,0.0010412962,,35,10.53,signal_close_ref,10.53,0.7299844622612,0.36818721890449524,0.7699052095413208,0.6698498129844666,-0.5501896142959595,0.8020423054695129,1.065087080001831,0.9788383841514587,0.9296122193336487,1.3165898323059082,-0.1898501217365265
2025-11-26,,600795.SH,国电电力,电力、热力生产和供应业,0.00093186856,,38,5.37,signal_close_ref,5.37,0.24484050273895264,-0.2485385239124298,0.09669561684131622,0.14233514666557312,-0.6571890115737915,-0.10153310000896454,-0.12650488317012787,-0.006027833558619022,-0.01699388399720192,0.053020354360342026,-0.008684156462550163
2025-11-26,,601231.SH,环旭电子,计算机、通信和其他电子设备制造业,0.00076897116,,46,21.67,signal_close_ref,21.67,0.5977674722671509,-0.16850782930850983,0.6665642857551575,0.5936155915260315,-0.5967474579811096,0.11008661985397339,0.5992295145988464,0.613824725151062,0.612166702747345,0.7865315079689026,-0.018106013536453247
2025-11-26,,002456.SZ,欧菲光,计算机、通信和其他电子设备制造业,0.00050772936,,54,11.44,signal_close_ref,11.44,0.09004556387662888,-0.5022620558738708,0.11839085817337036,-0.12607944011688232,-0.2372775822877884,0.39227136969566345,0.33134377002716064,0.4272463023662567,0.2739453613758087,0.6683781743049622,-0.018106013536453247
2025-11-26,,002815.SZ,崇达技术,计算机、通信和其他电子设备制造业,0.00035879877,,59,12.98,signal_close_ref,12.98,0.44956088066101074,0.05121681094169617,0.18314222991466522,0.6643391847610474,-0.08999910950660706,0.09802906215190887,0.47561049461364746,0.6523979306221008,0.635023295879364,0.8330162763595581,-0.018106013536453247
2025-11-26,,600487.SH,XD亨通光,电气机械和器材制造业,0.0002830145,,67,19.98,signal_close_ref,19.98,0.5806148052215576,-0.23506160080432892,0.7985613942146301,0.7237029075622559,-0.3239712715148926,0.03660213574767113,0.24913056194782257,0.3973187208175659,0.4707473814487457,0.4633884131908417,-0.3000635802745819
