signal_date,next_trade_date,symbol,name,industry_name,score,market_rank,candidate_rank,buy_price,buy_price_basis,entry_price_ref_close,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-12-05,,601519.SH,大智慧,其他金融业,0.015878543,,1,13.41,signal_close_ref,13.41,2.436938762664795,0.5510774850845337,2.6519949436187744,1.3960905075073242,0.013303454034030437,5.473670959472656,5.6324992179870605,5.240747451782227,5.175554275512695,4.37217903137207,2.209111452102661
2025-12-05,,601601.SH,中国太保,保险业,0.014500549,,2,37.61,signal_close_ref,37.61,2.4347214698791504,1.0586049556732178,2.6157052516937256,1.5930229425430298,-0.5128563642501831,7.623876094818115,5.173424243927002,4.269007205963135,4.021407604217529,3.8188047409057617,3.2033467292785645
2025-12-05,,002052.SZ,同洲电子,电气部件与设备,0.014105752,,3,12.59,signal_close_ref,12.59,1.0855728387832642,-0.4355303645133972,1.3324698209762573,-0.017877496778964996,-0.1477523297071457,0.6709627509117126,0.6767442226409912,0.9620622396469116,0.5572042465209961,1.0958242416381836,1.46958327293396
2025-12-05,,002031.SZ,巨轮智能,专用设备制造业,0.013209807,,4,8.04,signal_close_ref,8.04,1.0412904024124146,1.4921505451202393,1.115834355354309,2.2303292751312256,3.0210464000701904,0.7628214359283447,4.651662826538086,6.478160858154297,7.82628870010376,4.402756690979004,1.0011807680130005
2025-12-05,,000009.SZ,中国宝安,电气部件与设备,0.013076179,,5,10.25,signal_close_ref,10.25,0.8280348777770996,-0.009400051087141037,0.927112340927124,0.2361353486776352,-0.5301364064216614,1.1936997175216675,0.6653931140899658,0.16482925415039062,-0.023359183222055435,0.2688053548336029,1.46958327293396
2025-12-05,,002158.SZ,汉钟精机,通用设备制造业,0.012458047,,6,23.77,signal_close_ref,23.77,2.8960347175598145,0.7335204482078552,3.092707395553589,1.673595666885376,-0.215103879570961,5.773411750793457,6.657663345336914,5.879192352294922,5.2009100914001465,4.707606792449951,1.7437855005264282
2025-12-05,,002735.SZ,王子新材,橡胶和塑料制品业,0.01219311,,7,14.89,signal_close_ref,14.89,0.5865786671638489,0.034317295998334885,0.7375620007514954,0.14039477705955505,0.1700116991996765,1.0694330930709839,0.04044513404369354,0.33707788586616516,0.36984243988990784,0.38391998410224915,0.8038852214813232
2025-12-05,,002171.SZ,楚江新材,有色金属冶炼和压延加工业,0.011521302,,8,12.02,signal_close_ref,12.02,1.441437005996704,0.40494731068611145,1.4033938646316528,0.7014065384864807,0.3158366084098816,1.0638867616653442,0.6310780048370361,0.6872665882110596,0.570715606212616,0.842636227607727,1.9280354976654053
2025-12-05,,002366.SZ,融发核电,专用设备制造业,0.0114556085,,9,7.27,signal_close_ref,7.27,1.1658663749694824,-0.24911169707775116,1.3085391521453857,0.19384799897670746,0.32750898599624634,1.3605799674987793,1.6765855550765991,1.6763148307800293,1.638202428817749,1.9827555418014526,1.0011807680130005
2025-12-05,,600592.SH,龙溪股份,通用设备制造业,0.01142085,,10,28.18,signal_close_ref,28.18,0.983965277671814,1.3427512645721436,-0.9649525284767151,1.8235193490982056,4.020447731018066,3.4274790287017822,3.43621563911438,2.764512777328491,2.4085593223571777,2.954859733581543,1.7437855005264282
2025-12-05,,000932.SZ,华菱钢铁,黑色金属冶炼和压延加工业,0.01141673,,11,5.63,signal_close_ref,5.63,0.10195057094097137,-0.041289012879133224,0.10474139451980591,0.08137839287519455,-0.5726261734962463,0.7646417021751404,0.07164770364761353,0.03605053201317787,0.04473337158560753,0.1514141857624054,0.32221779227256775
2025-12-05,,002765.SZ,蓝黛科技,汽车系统部件,0.01140672,,12,12.14,signal_close_ref,12.14,0.6177635788917542,-0.2069261074066162,0.5242026448249817,0.20798000693321228,-0.3549961745738983,-0.04322044178843498,0.07415217161178589,0.2804398536682129,0.3152954876422882,0.3315553367137909,-0.025886066257953644
2025-12-05,,002008.SZ,大族激光,专用设备制造业,0.011079384,,13,37.92,signal_close_ref,37.92,1.2161496877670288,0.2739860713481903,1.3829569816589355,0.6547245383262634,-0.16572830080986023,2.1619651317596436,1.8016875982284546,1.5975911617279053,1.2208529710769653,1.8369642496109009,1.0011807680130005
2025-12-05,,002263.SZ,大东南,橡胶和塑料制品业,0.010869965,,14,3.44,signal_close_ref,3.44,0.7840297222137451,-0.2514961063861847,0.7180464267730713,-0.11630865931510925,-0.26448601484298706,0.04956505075097084,0.4732726514339447,0.3279832601547241,0.2998715341091156,0.5390542149543762,0.8038852214813232
2025-12-05,,601377.SH,兴业证券,资本市场服务,0.0108469315,,15,7.15,signal_close_ref,7.15,1.9787325859069824,0.7769960761070251,2.3746392726898193,1.2100458145141602,-0.004571163095533848,5.858006477355957,5.752713203430176,5.427721977233887,6.163579940795898,4.415309429168701,1.3703826665878296
2025-12-05,,000338.SZ,潍柴动力,汽车制造业,0.010726869,,18,17.7,signal_close_ref,17.7,0.6713523268699646,0.1395147293806076,0.6474929451942444,0.5691816210746765,-0.44309553503990173,0.797397792339325,1.0226126909255981,0.38712266087532043,0.37742528319358826,0.8749955892562866,1.0539555549621582
2025-12-05,,600095.SH,湘财股份,资本市场服务,0.010643341,,19,11.7,signal_close_ref,11.7,1.5886272192001343,0.37976041436195374,1.6678365468978882,1.0980935096740723,-0.18094588816165924,2.526721239089966,4.172574996948242,3.734769821166992,3.8503506183624268,3.668972969055176,1.3703826665878296
2025-12-05,,601677.SH,明泰铝业,有色金属冶炼和压延加工业,0.010583198,,20,14.54,signal_close_ref,14.54,0.9495934844017029,0.44341224431991577,1.1331995725631714,0.6781731843948364,-0.20501241087913513,1.5621651411056519,1.3082973957061768,1.2101922035217285,1.3322616815567017,1.3476248979568481,1.9280354976654053
