strategy,base_strategy,group_key,train_date,signal_date,buy_date,sell_date,hold_period,rank,symbol,name,industry_name,score,position_confidence,target_weight,candidate_rank,signal_close,buy_open,sell_open,gross_return,net_return,gross_contribution,net_contribution,inference_dir,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_5,industry_ret_1_mean
mon_wed_h5,mon_wed,2025-W49-mon_tue,2025-12-01,2025-12-01,2025-12-02,2025-12-08,5,1,603626.SH,科森科技,金属制品业,0.2821345031261444,1.0,0.175,1,13.37,13.37,12.6,-0.05759162303664922,-0.06041461227219114,-0.010078534031413613,-0.010572557147633449,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251201,0.49466317892074585,2.1952402591705322,0.12086280435323715,1.639962911605835,1.7570438385009766,0.46946263313293457,-0.1984049379825592
mon_wed_h5,mon_wed,2025-W49-mon_tue,2025-12-01,2025-12-01,2025-12-02,2025-12-08,5,2,000833.SZ,粤桂股份,综合,0.16868740320205688,1.0,0.175,2,20.07,20.05,19.7,-0.017456359102244412,-0.020399573731386567,-0.003054862842892772,-0.003569925402992649,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251201,0.6782076954841614,-0.2552640736103058,0.20189064741134644,0.3794812560081482,1.8466943502426147,0.9591771960258484,0.625106692314148
mon_wed_h5,mon_wed,2025-W49-mon_tue,2025-12-01,2025-12-01,2025-12-02,2025-12-08,5,3,002256.SZ,兆新股份,电力、热力生产和供应业,0.054736386984586716,0.639578706092333,0.12273891238338829,4,3.49,3.47,3.43,-0.011527377521613813,-0.014488352446174413,-0.0014148577796355975,-0.0017782846214706505,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251201,0.004273958038538694,0.4355389475822449,-0.2358071506023407,0.12361552566289902,-0.01644381508231163,0.007729737553745508,0.06341709196567535
mon_wed_h5,mon_wed,2025-W49-mon_tue,2025-12-01,2025-12-02,2025-12-03,2025-12-09,5,1,000833.SZ,粤桂股份,综合,0.16729018092155457,1.0,0.175,2,20.67,20.67,20.71,0.0019351717464923812,-0.0010661303150037993,0.00033865505563616667,-0.00018657280512566487,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h5\20260629_223244_mon_wed_h5_infer_20251201_20251202,1.0170620679855347,0.30618083477020264,1.1214815378189087,1.1612745523452759,2.645366907119751,1.406023621559143,0.026584545150399208
mon_wed_h5,mon_wed,2025-W49-mon_tue,2025-12-01,2025-12-02,2025-12-03,2025-12-09,5,2,601011.SH,宝泰隆,石油、煤炭及其他燃料加工业,0.05985540524125099,0.8913263874687912,0.1592423261829747,3,3.88,3.8,3.68,-0.03157894736842093,-0.03447985771034745,-0.005028705037357076,-0.005490652748253704,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h5\20260629_223244_mon_wed_h5_infer_20251201_20251202,1.0927547216415405,0.8122221231460571,0.4035429060459137,1.3875629901885986,0.6112191677093506,1.6960978507995605,0.8853176236152649
mon_wed_h5,mon_wed,2025-W49-mon_tue,2025-12-01,2025-12-02,2025-12-03,2025-12-09,5,3,002173.SZ,创新医疗,卫生,0.04992955923080444,0.4031842098985956,0.08846171043529635,8,22.54,23.1,21.85,-0.05411255411255411,-0.05694596491730375,-0.004786889092819067,-0.005037537458973069,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h5\20260629_223244_mon_wed_h5_infer_20251201_20251202,0.7121016979217529,0.6763148307800293,0.7160866260528564,1.021562933921814,1.0054699182510376,1.306288480758667,0.14132262766361237
mon_wed_h1,mon_wed,2025-W49-wed_fri,2025-12-03,2025-12-05,2025-12-08,2025-12-08,1,1,601601.SH,中国太保,保险业,0.011695215478539467,1.0,0.175,1,37.61,37.5,37.5,0.0,-0.0029955052443805252,0.0,-0.0005242134177665919,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251203_20251205,2.4347214698791504,1.0586049556732178,2.6157052516937256,1.5930229425430298,-0.5128563642501831,3.8188047409057617,3.2033467292785645
mon_wed_h1,mon_wed,2025-W49-wed_fri,2025-12-03,2025-12-05,2025-12-08,2025-12-08,1,2,601519.SH,大智慧,其他金融业,0.007469001691788435,0.4994242829392521,0.10241652102619155,2,13.41,13.62,13.62,0.0,-0.0029955052443805252,0.0,-0.0003067892258451651,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251203_20251205,2.436938762664795,0.5510774850845337,2.6519949436187744,1.3960905075073242,0.013303454034030437,4.37217903137207,2.209111452102661
mon_wed_h1,mon_wed,2025-W49-wed_fri,2025-12-03,2025-12-05,2025-12-08,2025-12-08,1,3,000009.SZ,中国宝安,电气部件与设备,0.005229130852967501,0.09378650094992591,0.043599042637739255,4,10.25,10.25,10.25,0.0,-0.0029955052443805252,0.0,-0.00013060116087131808,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251203_20251205,0.8280348777770996,-0.009400051087141037,0.927112340927124,0.2361353486776352,-0.5301364064216614,0.2688053548336029,1.46958327293396
