epoch,train_loss,train_ic,train_daily_ic,valid_loss,valid_mse_loss,valid_pearson_loss,valid_soft_rank_loss,valid_pairwise_loss,valid_ic,valid_daily_ic,valid_top_k_return,valid_hit_rate,valid_excess_return,valid_positive_excess_rate,valid_relative_return,valid_max_drawdown,valid_head_daily_ic,lr,selection_candidate,selection_score
1,0.01407042938178894,0.04245287621465718,0.045776310993555905,0.0009489884250797331,0.0009489884250797331,0.9670192003250122,1.0407113055388133,0.6926654915014903,0.03343053069664153,0.05119979690151375,-0.007240058559303483,0.3,-0.007240058586467058,0.3,-0.20356369018554688,-0.30110343484016144,-0.15636363636363634,0.0008,1.0,1.0
2,0.0020951597120758172,0.050984012808655305,0.05757530911997366,0.0008559231646358967,0.0008559231646358967,0.9747653007507324,1.0435717860857645,0.6935472349325816,0.03237343459353529,0.050832401163687056,-0.002667243410057078,0.43333333333333335,-0.0026672434227900037,0.43333333333333335,-0.08538514375686646,-0.19557533183533504,-0.03030303030303029,0.0008,1.0,5.0
3,0.0015461697286087359,0.0411952391145424,0.04906206600645584,0.0007872105343267322,0.0007872105343267322,0.9831869602203369,1.0263477385044097,0.6932132522265116,0.01285714383833552,0.03150681311450112,-0.001095132789729784,0.5,-0.0010951328091323375,0.5,-0.04131793975830078,-0.16435632045770543,-0.0294949494949495,0.0008,1.0,9.0
4,0.0012630787756498772,0.07120723724456869,0.07619866942973985,0.000784084724728018,0.000784084724728018,0.9793404340744019,1.0304970741271973,0.6934610366821289,0.021977400765233076,0.03580058058894727,-0.0015785734654249002,0.43333333333333335,-0.0015785734848274538,0.43333333333333335,-0.054836928844451904,-0.20677267505353736,0.01616161616161617,0.0008,1.0,8.0
5,0.0011103027450673757,0.07029373137114311,0.07385344900966398,0.0007821862236596644,0.0007821862236596644,0.9861228466033936,1.018126090367635,0.6931383868058523,0.006793315148353211,0.023852271892869006,0.0017331513459794222,0.4666666666666667,0.0017331513459794222,0.4666666666666667,0.04100310802459717,-0.1470016662063578,0.018585858585858584,0.0008,1.0,14.0
6,0.0010268581834628333,0.07635151632190698,0.07738927422400885,0.0007710672216489911,0.0007710672216489911,0.9813929796218872,1.0176964322725932,0.6929644385973612,0.0128042505095429,0.023838509478638862,-0.0020830257912166418,0.43333333333333335,-0.0020830257912166418,0.43333333333333335,-0.07118576765060425,-0.1794857040828558,-0.09494949494949492,0.0008,1.0,6.0
7,0.0009649620797643636,0.08021625502080322,0.08176592733128929,0.0007819276652298868,0.0007819276652298868,0.9833203554153442,1.003861318031947,0.6930340747038524,-0.0022451492427461688,0.009696110466070041,-0.004294792890626316,0.3,-0.004294792906148359,0.3,-0.13009631633758545,-0.24032968621746353,-0.03313131313131312,0.0008,1.0,3.0
8,0.000925634337873165,0.0766994501408032,0.07530498780457064,0.0007695142412558198,0.0007695142412558198,0.9822008013725281,1.0058064222335816,0.6928411225477854,-0.0002158737479901713,0.007889626161632043,-0.0035237981685592485,0.4666666666666667,-0.0035237981685592485,0.4666666666666667,-0.10951822996139526,-0.2242696991607015,-0.07555555555555554,0.0008,1.0,4.0
9,0.0009159912493126136,0.09404897723828923,0.09816579885318885,0.0007688958430662751,0.0007688958430662751,0.9775897264480591,1.0297853350639343,0.6933108747005463,0.009716889694825637,0.035868268645248565,0.0012036570658286413,0.43333333333333335,0.0012036570619481306,0.43333333333333335,0.027843713760375977,-0.13621190311144749,0.02585858585858585,0.0008,1.0,13.0
10,0.0008955607182471782,0.07871330117300862,0.076092219529827,0.0007678348920308053,0.0007678348920308053,0.9854241609573364,1.0013281683127084,0.6927717467149098,-0.009228913300134124,0.0033309989314413194,-0.001962576040144389,0.4666666666666667,-0.0019625760343236227,0.4666666666666667,-0.07108080387115479,-0.21987878386879878,-0.1111111111111111,0.0008,1.0,7.0
11,0.0008823818024346962,0.091286841616452,0.09132310037704854,0.0007902164361439645,0.0007902164361439645,0.9786238670349121,1.0102167089780172,0.6929187973340353,-0.002428052763216096,0.011919306869928275,-0.004486914405909677,0.36666666666666664,-0.004486914413670699,0.36666666666666664,-0.1369120478630066,-0.20853412265782145,-0.08848484848484846,0.0008,1.0,2.0
12,0.000873014994266159,0.10295155526147466,0.10462976174077103,0.0007678612601011992,0.0007678612601011992,0.9723366498947144,1.0255350450674692,0.6932289560635885,0.0046139028304827525,0.027804585947570997,-0.00038490324271454787,0.43333333333333335,-0.0003849032562963354,0.43333333333333335,-0.017834722995758057,-0.15512969675738286,-0.0032323232323232345,0.0008,1.0,10.0
13,0.0008717122857610808,0.09962627968849179,0.09685162934788798,0.0007756504346616566,0.0007756504346616566,0.9710707068443298,1.0147770643234253,0.693243267138799,0.00518615880905918,0.012848017952274842,0.0007255026449759801,0.4666666666666667,0.0007255026449759801,0.4666666666666667,0.015275955200195312,-0.11126268833116149,0.024242424242424232,0.0008,1.0,11.0
14,0.0008648014685191901,0.09901797056339885,0.09771653281241885,0.0008146818145178258,0.0008146818145178258,0.9750308394432068,1.0032928228378295,0.6930431385835012,-0.009362598818792168,0.003727493371705832,0.0008531692049776515,0.4666666666666667,0.0008531691933361192,0.4666666666666667,0.018564820289611816,-0.13055482291549458,0.04444444444444443,0.0008,1.0,12.0
15,0.0008662605364245515,0.09461328684732125,0.09151268913861914,0.0007709964993409812,0.0007709964993409812,0.9734374284744263,0.9998421152432759,0.6928903341293335,-0.00856194103508957,-0.00021117549412012307,0.0005302466840172807,0.4,0.0005302466723757486,0.4,0.0049484968185424805,-0.16492393257271665,-0.07757575757575758,0.0008,0.0,
