symbol,avg_turnover,avg_intraday_range,avg_abs_ret1,n_days,latest_close,is_st_symbol,passes,liq_rank,stability_rank,range_rank,price_rank,pool_score
605133.SH,524675980.03333336,0.060618261947152245,0.03248453123222768,60,39.63,False,True,0.9368191721132898,0.9498910675381264,0.9869281045751634,0.9934640522875817,0.9582788671023965
600301.SH,544006895.5666667,0.059585933004926116,0.031066174326374985,60,38.28,False,True,0.8867102396514162,0.9302832244008714,0.9803921568627451,0.9869281045751634,0.9295206971677559
603360.SH,541678589.7333333,0.056126507657374015,0.02882320527544325,60,31.87,False,True,0.8910675381263616,0.8518518518518519,0.9389978213507625,0.9084967320261438,0.8938997821350763
600506.SH,542198700.3,0.05533826009852408,0.031395597609313104,60,25.51,False,True,0.8888888888888888,0.9389978213507625,0.9237472766884531,0.7995642701525054,0.8862745098039215
600513.SH,503608958.26666665,0.05263145943923782,0.0279241362353052,60,18.62,False,True,0.9956427015250545,0.8191721132897604,0.8714596949891068,0.6405228758169934,0.8706971677559913
002940.SZ,627020630.9333333,0.05899099518714931,0.03366751553910544,60,37.8,False,True,0.738562091503268,0.971677559912854,0.971677559912854,0.9847494553376906,0.8693899782135076
002158.SZ,540323525.25,0.05388579147138831,0.028885479764905336,60,22.47,False,True,0.8997821350762527,0.8540305010893247,0.8867102396514162,0.7342047930283224,0.8555555555555555
603663.SH,519630950.1166667,0.04500614624975134,0.025079177833854938,60,32.01,False,True,0.954248366013072,0.6884531590413944,0.6666666666666666,0.9128540305010894,0.8496732026143792
002846.SZ,531531748.3,0.05541501378542697,0.028080829185820264,60,16.72,False,True,0.9215686274509803,0.8257080610021786,0.9259259259259259,0.5904139433551199,0.8368191721132897
600835.SH,535785288.6333333,0.044557006148117174,0.024550366352111445,60,30.04,False,True,0.9128540305010894,0.6535947712418301,0.6470588235294118,0.8954248366013072,0.8176470588235295
603319.SH,693767748.1666666,0.05947103807758788,0.030619828454401105,60,37.28,False,True,0.6427015250544662,0.9150326797385621,0.9782135076252724,0.9760348583877996,0.814161220043573
603367.SH,567132923.2333333,0.05268476186585457,0.029251237770713243,60,18.75,False,True,0.840958605664488,0.8714596949891068,0.8736383442265795,0.6437908496732027,0.8125272331154684
603716.SH,538484737.05,0.048276960700647825,0.02587002983131048,60,21.91,False,True,0.9084967320261438,0.7233115468409586,0.7712418300653595,0.710239651416122,0.8112200435729847
002683.SZ,575109773.05,0.04599314462087625,0.02480093194428091,60,39.9,False,True,0.8191721132897604,0.673202614379085,0.6840958605664488,1.0,0.8058823529411765
600961.SH,505128421.4,0.0469376812402549,0.02463928360532872,60,15.19,False,True,0.9912854030501089,0.6579520697167756,0.7320261437908496,0.5577342047930284,0.7990196078431372
000700.SZ,516689927.75,0.051118563335075494,0.02920223544134911,60,10.1,False,True,0.9607843137254902,0.8649237472766884,0.8366013071895425,0.3224400871459695,0.7953159041394335
002278.SZ,505710575.56666666,0.043883532027663624,0.03023812402610232,60,11.53,False,True,0.9869281045751634,0.8997821350762527,0.6274509803921569,0.38562091503267976,0.7953159041394335
603308.SH,691554667.6666666,0.057929911131420195,0.028467724249901835,60,35.99,False,True,0.6470588235294118,0.8387799564270153,0.9607843137254902,0.9607843137254902,0.7952069716775599
002895.SZ,512454806.7,0.04177612549919639,0.01952805063574871,60,35.35,False,True,0.9694989106753813,0.37037037037037035,0.5577342047930284,0.9564270152505446,0.7852941176470589
000962.SZ,727745258.6166667,0.05895505061102531,0.033969096770601066,60,28.23,False,True,0.6013071895424836,0.9847494553376906,0.9694989106753813,0.8583877995642701,0.784640522875817
600693.SH,554578402.95,0.0524651627519348,0.033944996841634635,60,10.34,False,True,0.8671023965141612,0.9803921568627451,0.8671023965141612,0.33769063180827885,0.7838779956427016
603618.SH,517796273.98333335,0.04739683791229075,0.033565901889812,60,8.04,False,True,0.9564270152505446,0.9629629629629629,0.7516339869281046,0.2374727668845316,0.7832244008714596
002882.SZ,519965540.8,0.042473822041556024,0.020628990825145885,60,32.11,False,True,0.9520697167755992,0.420479302832244,0.5816993464052288,0.9161220043572985,0.7830065359477125
603131.SH,694037060.9833333,0.055182814567382596,0.03095973686552618,60,27.92,False,True,0.6405228758169934,0.9259259259259259,0.9172113289760349,0.8496732026143791,0.7809368191721133
001298.SZ,645145337.75,0.049028067265924895,0.02783990827396132,60,31.71,False,True,0.7015250544662309,0.8126361655773421,0.7886710239651417,0.906318082788671,0.7777777777777779
601231.SH,585778994.1333333,0.048352595311327164,0.02648712462361977,60,23.0,False,True,0.7995642701525054,0.7450980392156863,0.775599128540305,0.7538126361655774,0.7759259259259259
002052.SZ,572603350.45,0.055712313111427145,0.028073756024177512,60,12.67,False,True,0.8300653594771242,0.8235294117647058,0.9302832244008714,0.4455337690631808,0.7668845315904138
000506.SZ,561191664.3833333,0.05007352243932714,0.029528697111988165,60,12.34,False,True,0.8453159041394336,0.8779956427015251,0.8169934640522876,0.43028322440087147,0.7645969498910676
002922.SZ,781705957.9666667,0.062382016915027344,0.03364647730349445,60,29.14,False,True,0.5468409586056645,0.9673202614379085,0.9934640522875817,0.8779956427015251,0.764161220043573
002733.SZ,639195014.25,0.054343771838119,0.028995001862165654,60,20.69,False,True,0.7167755991285403,0.8562091503267973,0.9019607843137255,0.6753812636165577,0.764161220043573
001337.SZ,522849172.95,0.03771522480312341,0.021772022463691424,60,28.09,False,True,0.9433551198257081,0.49673202614379086,0.4400871459694989,0.8562091503267973,0.7611111111111111
002915.SZ,688241996.6,0.05009481560010259,0.03058711198060609,60,23.18,False,True,0.6514161220043573,0.9106753812636166,0.8191721132897604,0.7625272331154684,0.7506535947712419
600343.SH,581432361.3166667,0.05000871700231945,0.022746953362317978,60,23.05,False,True,0.8082788671023965,0.5664488017429193,0.8126361655773421,0.7581699346405228,0.7505446623093682
002645.SZ,520598768.76666665,0.04447270031772655,0.023049787425969307,60,14.91,False,True,0.9498910675381264,0.5860566448801743,0.6427015250544662,0.5446623093681917,0.75
002965.SZ,525120269.71666664,0.03739664237867065,0.018324848493974137,60,37.42,False,True,0.934640522875817,0.3311546840958606,0.4335511982570806,0.9803921568627451,0.7479302832244008
002006.SZ,573097034.6166667,0.04563549756051473,0.024942429165613688,60,21.08,False,True,0.8257080610021786,0.6840958605664488,0.681917211328976,0.6840958605664488,0.7474945533769063
600756.SH,642383256.55,0.04806297167408406,0.027885099999815588,60,22.84,False,True,0.710239651416122,0.8169934640522876,0.7668845315904139,0.7450980392156863,0.7470588235294119
000753.SZ,607179777.5166667,0.06094397811027388,0.03419665913855298,60,8.73,False,True,0.7690631808278867,0.9891067538126361,0.9891067538126361,0.2625272331154684,0.7447712418300654
601061.SH,539130366.3666667,0.04562909662818201,0.023836175716506893,60,14.58,False,True,0.9041394335511983,0.6296296296296297,0.6797385620915033,0.5294117647058824,0.7406318082788672
603118.SH,538402880.0727273,0.048338250984818754,0.025013932124193266,55,11.49,False,True,0.9106753812636166,0.6862745098039216,0.7734204793028322,0.38344226579520696,0.7397603485838781
002422.SZ,507161214.0833333,0.03540876425606735,0.016875880219012384,60,34.4,False,True,0.9825708061002179,0.2701525054466231,0.3660130718954248,0.9433551198257081,0.739760348583878
