date,index_key,symbol,open,high,low,close,volume,turnover,amplitude,pct_chg,chg,source
2025-05-06,cyb,SZ399006,1966.97,1988.05,1964.46,1986.41,,204520480.0,0.0118756953499025,0.0197019553086965,38.38000000000011,akshare_index_tx
2025-05-07,cyb,SZ399006,2024.3,2035.47,1982.37,1996.51,,236535048.0,0.0265964107367356,0.0050845495139473,10.099999999999907,akshare_index_tx
2025-05-08,cyb,SZ399006,1994.05,2036.1,1991.65,2029.45,,207994995.0,0.0219024858951931,0.0164987903892293,32.940000000000055,akshare_index_tx
2025-05-09,cyb,SZ399006,2028.43,2028.43,2004.48,2011.77,,192034207.0,0.0119049394314459,-0.0087117199241174,-17.680000000000064,akshare_index_tx
2025-05-12,cyb,SZ399006,2042.9,2066.31,2038.34,2064.71,,194830717.0,0.0135466966305195,0.0263151354280062,52.940000000000055,akshare_index_tx
2025-05-13,cyb,SZ399006,2091.35,2091.35,2058.74,2062.26,,197528876.0,0.0158127491198976,-0.0011866073201562,-2.449999999999818,akshare_index_tx
2025-05-14,cyb,SZ399006,2062.27,2103.37,2051.82,2083.14,,193291895.0,0.024746296456311,0.0101248145238717,20.87999999999965,akshare_index_tx
2025-05-15,cyb,SZ399006,2076.04,2076.04,2043.1,2043.25,,176731703.0,0.0161213752600024,-0.0191489770250679,-39.88999999999987,akshare_index_tx
2025-05-16,cyb,SZ399006,2035.87,2050.89,2035.87,2039.45,,163275755.0,0.007364730687195,-0.0018597822097149,-3.7999999999999545,akshare_index_tx
2025-05-19,cyb,SZ399006,2038.05,2038.05,2017.17,2032.76,,165912587.0,0.0102717487553867,-0.0032802961582779,-6.690000000000055,akshare_index_tx
2025-05-20,cyb,SZ399006,2041.5,2059.52,2025.86,2048.46,,185317150.0,0.0164318561260654,0.0077234892461481,15.700000000000044,akshare_index_tx
2025-05-21,cyb,SZ399006,2052.0,2077.48,2050.21,2065.39,,175588279.0,0.0132033175332503,0.0082647452232407,16.929999999999836,akshare_index_tx
2025-05-22,cyb,SZ399006,2065.41,2065.41,2043.89,2045.57,,169780258.0,0.0105202950766777,-0.0095962505870561,-19.819999999999936,akshare_index_tx
2025-05-23,cyb,SZ399006,2043.2,2060.09,2021.5,2021.5,,178391659.0,0.0190897848132575,-0.0117668913799087,-24.069999999999936,akshare_index_tx
2025-05-26,cyb,SZ399006,2016.37,2023.49,1991.78,2005.26,,147787119.0,0.0158134107297806,-0.0080336383873361,-16.24000000000001,akshare_index_tx
2025-05-27,cyb,SZ399006,2001.62,2001.62,1983.9,1991.64,,150972274.0,0.0088971902552669,-0.0067921366805301,-13.61999999999989,akshare_index_tx
2025-05-28,cyb,SZ399006,1996.49,2001.95,1981.67,1985.38,,160736605.0,0.0102146692320865,-0.0031431383181699,-6.259999999999991,akshare_index_tx
2025-05-29,cyb,SZ399006,1988.32,2016.21,1986.63,2012.55,,196153778.0,0.0146977714839382,0.013685037625039,27.169999999999845,akshare_index_tx
2025-05-30,cyb,SZ399006,2002.73,2004.5,1988.19,1993.19,,192070841.0,0.008182862647314,-0.0096196367792104,-19.3599999999999,akshare_index_tx
2025-06-03,cyb,SZ399006,1986.54,2012.24,1985.57,2002.7,,185115747.0,0.0133170220202726,0.0047712460929465,9.509999999999993,akshare_index_tx
2025-06-04,cyb,SZ399006,2009.37,2030.92,2009.37,2024.93,,185041493.0,0.0106423431921104,0.0111000149797773,22.23000000000001,akshare_index_tx
2025-06-05,cyb,SZ399006,2026.63,2053.56,2014.44,2048.61,,208483808.0,0.0190958747638642,0.0116942314055301,23.680000000000064,akshare_index_tx
2025-06-06,cyb,SZ399006,2047.87,2051.91,2034.1,2039.44,,178108991.0,0.0087327893931667,-0.0044762058176032,-9.170000000000073,akshare_index_tx
2025-06-09,cyb,SZ399006,2046.43,2075.58,2045.64,2061.29,,202827466.0,0.0145248849021728,0.0107137253363667,21.84999999999991,akshare_index_tx
2025-06-10,cyb,SZ399006,2057.97,2063.87,2023.17,2037.27,,237687808.0,0.0199777152758347,-0.0116528969722843,-24.019999999999985,akshare_index_tx
2025-06-11,cyb,SZ399006,2044.28,2076.91,2044.28,2061.87,,208455831.0,0.0158254400131918,0.0120749826974333,24.59999999999991,akshare_index_tx
2025-06-12,cyb,SZ399006,2057.2,2076.84,2051.24,2067.15,,214021326.0,0.0123842004692452,0.0025607822025637,5.2800000000002,akshare_index_tx
2025-06-13,cyb,SZ399006,2054.97,2065.87,2036.96,2043.82,,241780969.0,0.0141450812693876,-0.0112860701932613,-23.330000000000155,akshare_index_tx
2025-06-16,cyb,SZ399006,2038.7,2062.42,2038.7,2057.32,,203702624.0,0.011529562732098,0.0066052783513226,13.500000000000227,akshare_index_tx
2025-06-17,cyb,SZ399006,2061.47,2063.08,2045.05,2049.94,,216853533.0,0.0087953793769573,-0.0035871911029884,-7.380000000000109,akshare_index_tx
2025-06-18,cyb,SZ399006,2046.69,2059.38,2039.25,2054.73,,211304448.0,0.0097969076228994,0.0023366537557196,4.789999999999964,akshare_index_tx
2025-06-19,cyb,SZ399006,2049.18,2057.77,2021.18,2026.82,,221788483.0,0.0180529104705893,-0.0135832931820726,-27.91000000000008,akshare_index_tx
2025-06-20,cyb,SZ399006,2026.88,2036.02,2007.51,2009.89,,190308016.0,0.0141848558876356,-0.0083529864516828,-16.929999999999836,akshare_index_tx
2025-06-23,cyb,SZ399006,1996.96,2021.76,1996.96,2017.63,,200250341.0,0.0122916491130682,0.0038509570175482,7.740000000000009,akshare_index_tx
2025-06-24,cyb,SZ399006,2024.7,2065.84,2024.7,2064.13,,247840301.0,0.0199309152039842,0.0230468420870031,46.5,akshare_index_tx
2025-06-25,cyb,SZ399006,2073.26,2133.03,2072.87,2128.39,,267537197.0,0.0282654964550671,0.0311317601120082,64.25999999999976,akshare_index_tx
2025-06-26,cyb,SZ399006,2128.86,2142.21,2113.14,2114.43,,269411209.0,0.0137483860898682,-0.0065589483130441,-13.960000000000036,akshare_index_tx
2025-06-27,cyb,SZ399006,2125.85,2146.04,2112.75,2124.34,,242281223.0,0.0156707495033751,0.004686842316842,9.91000000000031,akshare_index_tx
2025-06-30,cyb,SZ399006,2132.93,2154.0,2128.78,2153.01,,238472882.0,0.0117138331916711,0.0134959563911616,28.67000000000008,akshare_index_tx
2025-07-01,cyb,SZ399006,2149.22,2152.92,2134.57,2147.92,,248615116.0,0.0085431487206226,-0.0023641320755594,-5.0900000000001455,akshare_index_tx
2025-07-02,cyb,SZ399006,2140.14,2140.14,2118.55,2123.72,,234278871.0,0.0101661235944473,-0.0112667138440911,-24.20000000000028,akshare_index_tx
2025-07-03,cyb,SZ399006,2130.74,2168.61,2130.74,2164.09,,219337576.0,0.0174992722114146,0.019009097244458,40.370000000000346,akshare_index_tx
2025-07-04,cyb,SZ399006,2168.35,2187.88,2153.62,2156.23,,232294631.0,0.0158888430269499,-0.0036320116076503,-7.860000000000127,akshare_index_tx
2025-07-07,cyb,SZ399006,2148.93,2155.69,2126.32,2130.19,,188872554.0,0.013787502523249,-0.012076633754284,-26.039999999999964,akshare_index_tx
2025-07-08,cyb,SZ399006,2129.49,2183.06,2129.49,2181.08,,228272821.0,0.0245612265483155,0.023889887756491,50.88999999999987,akshare_index_tx
2025-07-09,cyb,SZ399006,2179.32,2204.64,2179.11,2184.67,,233669091.0,0.0116859754562472,0.0016459735543858,3.590000000000145,akshare_index_tx
2025-07-10,cyb,SZ399006,2192.99,2199.71,2174.21,2189.58,,220559910.0,0.0116460691091442,0.0022474790242918,4.909999999999855,akshare_index_tx
2025-07-11,cyb,SZ399006,2190.01,2223.31,2181.19,2207.1,,238426461.0,0.0190838657061301,0.0080015345408708,17.519999999999982,akshare_index_tx
2025-07-14,cyb,SZ399006,2207.54,2208.08,2189.08,2197.07,,202146011.0,0.0086478810415689,-0.0045444248108376,-10.029999999999744,akshare_index_tx
2025-07-15,cyb,SZ399006,2211.4,2245.44,2209.9,2235.05,,224843887.0,0.0159012102637524,0.0172866590504625,37.98000000000002,akshare_index_tx
2025-07-16,cyb,SZ399006,2241.21,2259.64,2227.82,2230.19,,205109817.0,0.0142678426501776,-0.0021744479989262,-4.860000000000127,akshare_index_tx
2025-07-17,cyb,SZ399006,2228.52,2269.67,2228.52,2269.33,,213485493.0,0.0181331053659009,0.0175500742089238,39.13999999999987,akshare_index_tx
2025-07-18,cyb,SZ399006,2279.67,2296.91,2263.97,2277.15,,211967077.0,0.0144654502338449,0.0034459510075661,7.820000000000164,akshare_index_tx
2025-07-21,cyb,SZ399006,2285.41,2297.14,2273.81,2296.88,,225424052.0,0.0101572568005293,0.0086643391959246,19.73000000000001,akshare_index_tx
2025-07-22,cyb,SZ399006,2295.36,2313.46,2290.38,2310.86,,242464648.0,0.0099876236552625,0.0060865173626833,13.980000000000018,akshare_index_tx
2025-07-23,cyb,SZ399006,2308.11,2333.31,2304.63,2310.67,,234159582.0,0.0124119844027921,-8.222047203210181e-05,-0.1900000000000545,akshare_index_tx
2025-07-24,cyb,SZ399006,2319.25,2345.37,2318.42,2345.37,,233231978.0,0.0114907242780456,0.0150172893576321,34.69999999999982,akshare_index_tx
2025-07-25,cyb,SZ399006,2348.28,2350.06,2332.02,2340.06,,225715186.0,0.0077092040375032,-0.0022640350989395,-5.309999999999945,akshare_index_tx
2025-07-28,cyb,SZ399006,2346.38,2366.51,2334.16,2362.6,,216864238.0,0.0136925421146196,0.0096322316521797,22.539999999999964,akshare_index_tx
2025-07-29,cyb,SZ399006,2362.77,2406.59,2355.38,2406.59,,230716099.0,0.0212790712169501,0.0186193177008382,43.99000000000024,akshare_index_tx
2025-07-30,cyb,SZ399006,2395.86,2395.89,2349.18,2367.68,,250304909.0,0.019728172726044,-0.0161681050781397,-38.91000000000031,akshare_index_tx
2025-07-31,cyb,SZ399006,2382.97,2394.22,2321.72,2328.31,,252753645.0,0.0311384652387353,-0.0166280916340045,-39.36999999999989,akshare_index_tx
2025-08-01,cyb,SZ399006,2323.92,2348.02,2304.39,2322.63,,228168384.0,0.01878473971317,-0.0024395376904277,-5.679999999999836,akshare_index_tx
2025-08-04,cyb,SZ399006,2307.37,2334.43,2304.48,2334.32,,211838848.0,0.0128302889064052,0.0050330874913353,11.690000000000056,akshare_index_tx
2025-08-05,cyb,SZ399006,2349.44,2351.0,2323.74,2343.38,,225177287.0,0.0116327697599195,0.0038812159429726,9.059999999999944,akshare_index_tx
2025-08-06,cyb,SZ399006,2335.95,2359.82,2335.95,2358.95,,254893313.0,0.0101189088365587,0.006644248905427,15.569999999999707,akshare_index_tx
2025-08-07,cyb,SZ399006,2359.42,2372.68,2322.81,2342.86,,257978554.0,0.0212859496512808,-0.0068208313020622,-16.08999999999969,akshare_index_tx
2025-08-08,cyb,SZ399006,2338.25,2353.99,2330.01,2333.96,,243495473.0,0.0102743834513014,-0.0037987758551514,-8.900000000000091,akshare_index_tx
2025-08-11,cyb,SZ399006,2336.93,2384.86,2336.93,2379.82,,244909805.0,0.020140178668975,0.0196490085519889,45.86000000000013,akshare_index_tx
2025-08-12,cyb,SZ399006,2381.16,2409.4,2368.81,2409.4,,244883792.0,0.0168465178052627,0.0124295114756578,29.579999999999927,akshare_index_tx
2025-08-13,cyb,SZ399006,2417.47,2497.86,2414.48,2496.5,,272434252.0,0.0333987582615662,0.0361500788578068,87.09999999999991,akshare_index_tx
2025-08-14,cyb,SZ399006,2496.63,2513.37,2463.86,2469.66,,293131579.0,0.0200472939594923,-0.0107510514720609,-26.840000000000146,akshare_index_tx
2025-08-15,cyb,SZ399006,2464.67,2541.89,2464.67,2534.22,,280039651.0,0.0304709141274237,0.0261412502125799,64.55999999999995,akshare_index_tx
2025-08-18,cyb,SZ399006,2549.55,2633.86,2529.25,2606.2,,361326575.0,0.0401388995472335,0.0284032167688677,71.98000000000002,akshare_index_tx
2025-08-19,cyb,SZ399006,2596.58,2634.6,2586.95,2601.74,,324363016.0,0.018314666338681,-0.0017113038139821,-4.460000000000036,akshare_index_tx
2025-08-20,cyb,SZ399006,2572.01,2608.0,2547.44,2607.65,,283145029.0,0.0232239756102237,0.0022715567274209,5.910000000000309,akshare_index_tx
2025-08-21,cyb,SZ399006,2614.91,2626.37,2582.05,2595.47,,292433377.0,0.0170759053273587,-0.0046708722412901,-12.180000000000293,akshare_index_tx
