symbol,name,last_price,latest_date
000573.SZ,粤宏远Ａ,3.52,2026-06-29
000576.SZ,甘化科工,6.51,2026-06-29
000581.SZ,威孚高科,16.9,2026-06-29
000582.SZ,北部湾港,10.53,2026-06-29
000586.SZ,汇源通信,12.97,2026-06-29
000589.SZ,贵州轮胎,4.12,2026-06-29
000590.SZ,古汉医药,8.45,2026-06-29
000591.SZ,太阳能,4.56,2026-06-29
000592.SZ,平潭发展,6.61,2026-06-29
000593.SZ,德龙汇能,19.9,2026-06-29
000597.SZ,东北制药,4.4,2026-06-29
000598.SZ,兴蓉环境,6.46,2026-06-29
000599.SZ,青岛双星,4.26,2026-06-29
000600.SZ,建投能源,8.88,2026-06-29
000601.SZ,韶能股份,5.94,2026-06-29
000603.SZ,盛达资源,21.0,2026-06-29
000605.SZ,渤海股份,5.43,2026-06-29
000607.SZ,华媒控股,3.1,2026-06-29
000608.SZ,阳光股份,6.31,2026-06-29
000612.SZ,焦作万方,10.93,2026-06-29
000617.SZ,中油资本,6.68,2026-06-29
000619.SZ,海螺新材,4.46,2026-06-29
000620.SZ,盈新发展,3.18,2026-06-29
000623.SZ,吉林敖东,18.1,2026-06-29
000625.SZ,长安汽车,7.23,2026-06-29
000626.SZ,远大控股,6.4,2026-06-29
000629.SZ,钒钛股份,3.33,2026-06-29
000630.SZ,铜陵有色,6.37,2026-06-29
000631.SZ,顺发恒能,3.03,2026-06-29
000633.SZ,合金投资,4.76,2026-06-29
000635.SZ,英 力 特,6.13,2026-06-29
000637.SZ,茂化实华,3.54,2026-06-29
000650.SZ,仁和药业,5.08,2026-06-29
000651.SZ,格力电器,37.92,2026-06-29
000652.SZ,泰达股份,3.38,2026-06-29
000655.SZ,金岭矿业,6.45,2026-06-29
000659.SZ,珠海中富,3.11,2026-06-29
000663.SZ,永安林业,5.16,2026-06-29
000665.SZ,湖北广电,3.64,2026-06-29
000668.SZ,荣丰控股,22.8,2026-06-29
000670.SZ,盈方微,7.12,2026-06-29
000672.SZ,上峰材料,22.26,2026-06-29
000676.SZ,智度股份,5.1,2026-06-29
000678.SZ,襄阳轴承,8.35,2026-06-29
000679.SZ,大连友谊,6.21,2026-06-29
000680.SZ,山推股份,9.89,2026-06-29
000681.SZ,视觉中国,19.57,2026-06-29
000682.SZ,东方电子,12.56,2026-06-29
000683.SZ,博源化工,5.95,2026-06-29
000685.SZ,中山公用,11.12,2026-06-29
000686.SZ,东北证券,8.46,2026-06-29
000688.SZ,国城矿业,33.42,2026-06-29
000690.SZ,宝新能源,4.75,2026-06-29
000691.SZ,亚太实业,11.66,2026-06-29
000692.SZ,惠天热电,4.01,2026-06-29
000695.SZ,滨海能源,12.35,2026-06-29
000697.SZ,炼石航空,10.33,2026-06-29
000700.SZ,模塑科技,13.86,2026-06-29
000701.SZ,厦门信达,4.4,2026-06-29
000702.SZ,正虹科技,5.01,2026-06-29
000703.SZ,恒逸石化,15.0,2026-06-29
000705.SZ,浙江震元,6.03,2026-06-29
000707.SZ,双环科技,4.31,2026-06-29
000708.SZ,中信特钢,12.97,2026-06-29
000710.SZ,贝瑞基因,7.64,2026-06-29
000712.SZ,锦龙股份,8.6,2026-06-29
000713.SZ,国投丰乐,5.32,2026-06-29
000715.SZ,中兴商业,4.73,2026-06-29
000716.SZ,黑芝麻,4.1,2026-06-29
000717.SZ,中南股份,2.0,2026-06-29
000719.SZ,中原传媒,11.39,2026-06-29
000720.SZ,新能泰山,3.65,2026-06-29
000721.SZ,西安饮食,5.52,2026-06-29
000722.SZ,湖南发展,11.75,2026-06-29
000723.SZ,美锦能源,3.43,2026-06-29
000725.SZ,京东方Ａ,7.95,2026-06-29
000726.SZ,鲁  泰Ａ,5.5,2026-06-29
000727.SZ,冠捷科技,2.53,2026-06-29
000728.SZ,国元证券,7.53,2026-06-29
000729.SZ,燕京啤酒,10.28,2026-06-29
000731.SZ,四川美丰,5.22,2026-06-29
000735.SZ,罗 牛 山,4.83,2026-06-29
000736.SZ,中交发展,3.71,2026-06-29
000737.SZ,北方铜业,13.35,2026-06-29
000738.SZ,航发控制,17.52,2026-06-29
000739.SZ,普洛药业,17.03,2026-06-29
000750.SZ,国海证券,3.7,2026-06-29
000751.SZ,锌业股份,6.22,2026-06-29
000753.SZ,漳州发展,4.49,2026-06-29
000755.SZ,山西高速,4.33,2026-06-29
000756.SZ,新华制药,13.59,2026-06-29
000757.SZ,浩物股份,3.44,2026-06-29
000758.SZ,中色股份,6.73,2026-06-29
000759.SZ,中百集团,6.31,2026-06-29
000761.SZ,本钢板材,2.18,2026-06-29
000762.SZ,西藏矿业,26.02,2026-06-29
000766.SZ,通化金马,21.56,2026-06-29
000767.SZ,晋控电力,3.92,2026-06-29
000768.SZ,中航西飞,20.17,2026-06-29
000776.SZ,广发证券,23.26,2026-06-29
000777.SZ,中核科技,18.48,2026-06-29
000778.SZ,新兴铸管,3.72,2026-06-29
000779.SZ,甘咨询,7.75,2026-06-29
000782.SZ,恒申新材,7.88,2026-06-29
000783.SZ,长江证券,9.45,2026-06-29
000786.SZ,北新建材,18.25,2026-06-29
000788.SZ,北大医药,5.0,2026-06-29
000789.SZ,万年青,3.87,2026-06-29
000790.SZ,华神科技,3.59,2026-06-29
000791.SZ,甘肃能源,7.81,2026-06-29
000792.SZ,盐湖股份,29.63,2026-06-29
000795.SZ,英洛华,8.44,2026-06-29
000796.SZ,凯撒旅业,3.79,2026-06-29
000797.SZ,中国武夷,2.18,2026-06-29
000798.SZ,中水渔业,7.07,2026-06-29
000800.SZ,一汽解放,5.96,2026-06-29
000801.SZ,四川九洲,11.76,2026-06-29
000802.SZ,北京文化,3.48,2026-06-29
000803.SZ,山高环能,6.68,2026-06-29
000807.SZ,云铝股份,23.16,2026-06-29
000809.SZ,和展能源,3.24,2026-06-29
000810.SZ,创维数字,12.6,2026-06-29
000812.SZ,陕西金叶,3.15,2026-06-29
000813.SZ,德展健康,3.12,2026-06-29
000815.SZ,美利云,14.1,2026-06-29
000816.SZ,智慧农业,2.27,2026-06-29
000818.SZ,航锦科技,13.2,2026-06-29
000819.SZ,岳阳兴长,11.4,2026-06-29
