symbol,industry_name,industry_code,updated_at,source
002384.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:14.257741,cninfo_industry_change
002344.SZ,商务服务业,L72,2026-03-18T23:31:14.268573,cninfo_industry_change
002387.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:14.428588,cninfo_industry_change
002312.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:14.468737,cninfo_industry_change
002389.SZ,铁路、船舶、航空航天和其他运输设备制造业,C37,2026-03-18T23:31:14.469737,cninfo_industry_change
002229.SZ,印刷和记录媒介复制业,C23,2026-03-18T23:31:14.492889,cninfo_industry_change
002388.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:14.498402,cninfo_industry_change
002352.SZ,邮政业,G60,2026-03-18T23:31:14.502058,cninfo_industry_change
002386.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:14.507011,cninfo_industry_change
002349.SZ,医药制造业,C27,2026-03-18T23:31:14.509011,cninfo_industry_change
002353.SZ,专用设备制造业,C35,2026-03-18T23:31:14.544558,cninfo_industry_change
002355.SZ,汽车制造业,C36,2026-03-18T23:31:14.644636,cninfo_industry_change
002321.SZ,畜牧业,A03,2026-03-18T23:31:14.686527,cninfo_industry_change
002392.SZ,非金属矿物制品业,C30,2026-03-18T23:31:14.713836,cninfo_industry_change
002390.SZ,批发业,F51,2026-03-18T23:31:14.717301,cninfo_industry_change
002360.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:14.719303,cninfo_industry_change
002395.SZ,橡胶和塑料制品业,C29,2026-03-18T23:31:14.739231,cninfo_industry_change
002398.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:14.742602,cninfo_industry_change
002394.SZ,纺织业,C17,2026-03-18T23:31:14.749515,cninfo_industry_change
002396.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:14.754295,cninfo_industry_change
002391.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:14.758076,cninfo_industry_change
002399.SZ,药品制剂,35202020,2026-03-18T23:31:14.874277,cninfo_industry_change
002248.SZ,通用设备制造业,C34,2026-03-18T23:31:14.882273,cninfo_industry_change
002401.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:14.968850,cninfo_industry_change
002403.SZ,金属制品业,C33,2026-03-18T23:31:14.976457,cninfo_industry_change
002405.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:14.977458,cninfo_industry_change
002404.SZ,非运动服装,S350209,2026-03-18T23:31:14.990232,cninfo_industry_change
002402.SZ,消费电子零部件及组装,S270504,2026-03-18T23:31:14.995451,cninfo_industry_change
002407.SZ,其他化学制品,Z02010204,2026-03-18T23:31:15.012404,cninfo_industry_change
002406.SZ,汽车制造业,C36,2026-03-18T23:31:15.029791,cninfo_industry_change
002410.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:15.125397,cninfo_industry_change
002254.SZ,化学纤维制造业,C28,2026-03-18T23:31:15.140721,cninfo_industry_change
002412.SZ,医药制造业,C27,2026-03-18T23:31:15.194996,cninfo_industry_change
002259.SZ,燃气生产和供应业,D45,2026-03-18T23:31:15.206918,cninfo_industry_change
