epoch,train_loss,train_ic,train_daily_ic,valid_loss,valid_mse_loss,valid_pearson_loss,valid_soft_rank_loss,valid_pairwise_loss,valid_ic,valid_daily_ic,valid_top_k_return,valid_hit_rate,valid_excess_return,valid_positive_excess_rate,valid_relative_return,valid_max_drawdown,valid_head_daily_ic,lr,selection_candidate,selection_score
1,0.013115957821865153,0.02693908674047844,0.02125865382512311,0.0008169556967914104,0.0008169556967914104,0.9616125226020813,1.0472173194090526,0.6921252469221751,0.049237934258820476,0.049390822748100166,-0.005390930113086749,0.36666666666666664,-0.005390930116482196,0.36666666666666664,-0.16226118803024292,-0.24215507375578293,-0.10626262626262627,0.0008,1.0,1.0
2,0.0018632360442632871,0.005693222232084967,0.004166149210200099,0.0008865322452038527,0.0008865322452038527,0.9800394177436829,1.0004802266756694,0.6913242816925049,0.01391115475288821,0.005382395006643722,0.00010161646641790867,0.5,0.00010161646641790867,0.5,-0.011923491954803467,-0.1838158459899365,-0.03151515151515152,0.0008,1.0,11.0
3,0.0013512590050312914,0.011434431314067421,0.012360622340838656,0.00082206359365955,0.00082206359365955,0.9800293445587158,0.9980813463528951,0.6919034580389659,0.007540365385899043,0.003344469506782888,-0.0027123839458605896,0.43333333333333335,-0.0027123839458605896,0.43333333333333335,-0.09627747535705566,-0.17613321952226346,-0.022626262626262612,0.0008,1.0,4.0
4,0.0011097684952612245,0.03780133031575123,0.03287148655684146,0.0008060518302954733,0.0008060518302954733,0.9710463285446167,1.0133616109689076,0.692514548699061,0.012122077015063563,0.017144514642423267,-0.0011296518535042802,0.5333333333333333,-0.0011296518535042802,0.5333333333333333,-0.05484682321548462,-0.17470986288887602,0.01131313131313132,0.0008,1.0,6.0
5,0.0009863635418004895,0.03686347888259125,0.0334105745035182,0.0009349750471301377,0.0009349750471301377,0.9851938486099243,0.9858813484509786,0.6924126704533895,-0.004101658953205068,-0.006821193209925332,-0.006733042001724243,0.4666666666666667,-0.006733042001724243,0.4666666666666667,-0.2029770016670227,-0.3098488283123778,-0.03434343434343434,0.0008,0.0,
6,0.0009302973301207009,0.0658612428152708,0.06364601814875029,0.0007712481310591102,0.0007712481310591102,0.9705143570899963,1.017226012547811,0.6927817066510519,0.020065010429681764,0.023670397881419298,-0.0010857068079834183,0.5,-0.0010857068079834183,0.5,-0.05211907625198364,-0.2317636942196476,-0.04484848484848485,0.0008,1.0,7.0
7,0.0008862236250683205,0.059638810894878436,0.06159508359926077,0.0007729698554612696,0.0007729698554612696,0.9731216430664062,1.0092767337958017,0.6926837861537933,0.013083999503993875,0.017168682771906894,-0.003133788611739874,0.4666666666666667,-0.003133788611739874,0.4666666666666667,-0.10654497146606445,-0.25027418026598947,-0.07636363636363637,0.0008,1.0,3.0
8,0.0008662448904828581,0.06801853957558893,0.06680275723828517,0.0007760720327496529,0.0007760720327496529,0.9642801284790039,1.0160802284876504,0.6926947653293609,0.018663810692813674,0.02105585294587392,-0.003637991378006215,0.4666666666666667,-0.003637991374125704,0.4666666666666667,-0.12041831016540527,-0.2534557771586179,-0.054949494949494956,0.0008,1.0,2.0
9,0.000850160474722449,0.07434939227396777,0.07284762140494534,0.0008216695277951658,0.0008216695277951658,0.970634937286377,1.0068277418613434,0.6929641882578532,0.01067108063755315,0.008165168445669823,-0.00043261028428484376,0.4666666666666667,-0.00043261028040433305,0.4666666666666667,-0.026108086109161377,-0.14215081743056834,0.02666666666666667,0.0008,1.0,10.0
10,0.0008499099929992831,0.07133812317674025,0.07230772394028231,0.0007755666156299412,0.0007755666156299412,0.9689961075782776,1.0022573073705037,0.6928510824839275,0.009656257037941067,0.004691597997651412,-0.0006637280059900756,0.4666666666666667,-0.0006637280059900756,0.4666666666666667,-0.03371107578277588,-0.16416368964408123,0.016565656565656565,0.0008,1.0,9.0
11,0.0008316987470727243,0.07951835792999132,0.07706901867845736,0.0007701014401391149,0.0007701014401391149,0.9643345475196838,1.011460010210673,0.6928561627864838,0.015174843700170576,0.01324781780817,-0.0016904515966113347,0.43333333333333335,-0.0016904516004918454,0.43333333333333335,-0.06378233432769775,-0.16261160572204436,-0.04808080808080808,0.0008,1.0,5.0
12,0.0008213812308398339,0.07751333249173037,0.08148838427488622,0.0008008917793631554,0.0008008917793631554,0.9748998880386353,0.996237967411677,0.692904011408488,0.005770596464322255,0.0006137769357900058,-0.0008202682773116976,0.5333333333333333,-0.0008202682700357399,0.5333333333333333,-0.03433459997177124,-0.1849466525828808,-0.07717171717171717,0.0008,1.0,8.0
