signal_date,symbol,name,industry_name,score,close,market_rank,candidate_rank,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-11-25,601777.SH,千里科技,汽车制造业,0.004653767,10.5,,1,-1.1985629796981812,-1.4584988355636597,-1.5887073278427124,-1.4424500465393066,-0.565264880657196,-0.08754848688840866,0.5790899395942688,0.7322694063186646,0.8067200183868408,0.9828271269798279,0.00670868344604969
2025-11-25,603308.SH,应流股份,通用设备制造业,0.004541024,36.76,,2,-0.256628155708313,-0.42484617233276367,-0.7036043405532837,0.11692111194133759,-0.28477442264556885,0.08348067849874496,0.031486231833696365,0.18883296847343445,0.09803672134876251,0.19638963043689728,0.28384387493133545
2025-11-25,600795.SH,国电电力,电力、热力生产和供应业,0.0044020503,5.32,,3,0.31879183650016785,-0.12540540099143982,0.34622904658317566,-0.18472541868686676,-0.6451429128646851,-0.2453165501356125,-0.08961667120456696,0.01701737381517887,-0.052251171320676804,0.0757816880941391,0.043372493237257004
2025-11-25,000338.SZ,潍柴动力,汽车制造业,0.004371477,16.87,,4,0.5026965737342834,-0.7178147435188293,0.3207433819770813,-0.2242298573255539,-0.39961984753608704,0.29131466150283813,0.19890667498111725,0.1968664675951004,-0.32512563467025757,0.4819164574146271,0.00670868344604969
2025-11-25,600406.SH,国电南瑞,软件和信息技术服务业,0.004350267,22.19,,5,-0.04464713856577873,-0.9538431167602539,-0.21332019567489624,-0.6250541806221008,-0.6304149627685547,0.035469163209199905,-0.011217084713280201,0.1804897040128708,0.12324253469705582,0.27560359239578247,0.633249819278717
2025-11-25,600066.SH,宇通客车,汽车制造业,0.0042604324,30.89,,6,-0.7515438199043274,0.014232378453016281,-0.7224588990211487,-0.27938154339790344,-0.6321296691894531,-0.2420259416103363,-0.021483175456523895,0.3591231107711792,0.33366507291793823,0.39466592669487,0.00670868344604969
2025-11-25,600019.SH,宝钢股份,黑色金属冶炼和压延加工业,0.0037657986,7.16,,7,-0.1658027023077011,-0.9770764708518982,-0.29217150807380676,-0.8598510026931763,-0.6604110598564148,-0.6252745985984802,-0.34160736203193665,-0.16432170569896698,-0.06987755000591278,-0.16942405700683594,0.04368707537651062
2025-11-25,000625.SZ,长安汽车,汽车制造业,0.0036312635,11.86,,8,-0.04906398057937622,-0.49235430359840393,-0.12119458615779877,-0.26336172223091125,-0.6452161073684692,-0.2398478239774704,-0.559795081615448,-0.44407716393470764,-0.3993530571460724,-0.5006587505340576,0.00670868344604969
2025-11-25,000528.SZ,柳    工,专用设备制造业,0.003603417,11.28,,9,0.6749120354652405,0.17445917427539825,0.543304979801178,0.5475990176200867,-0.4592418670654297,0.10934939980506897,0.07692231237888336,0.30300846695899963,0.0905563160777092,0.49783098697662354,-0.07267872989177704
2025-11-25,600986.SH,浙文互联,互联网和相关服务,0.0035918565,9.85,,10,1.117061734199524,0.8161414861679077,1.3885016441345215,1.6367989778518677,1.1248869895935059,0.44254270195961,1.9781907796859741,2.24206280708313,2.5235347747802734,2.375770092010498,1.9298436641693115
2025-11-25,002027.SZ,分众传媒,商务服务业,0.0034980993,7.4,,11,-0.517866849899292,-0.6748440265655518,-0.5594562888145447,-0.5262558460235596,-0.5525423884391785,0.20338183641433716,0.7784395813941956,0.988108217716217,1.003182053565979,1.180791974067688,0.015290557406842709
2025-11-25,000932.SZ,华菱钢铁,黑色金属冶炼和压延加工业,0.00343617,5.71,,12,-0.5066402554512024,-0.5962712168693542,-0.7570518851280212,-0.6412789225578308,-0.6085039973258972,-0.3034099042415619,-0.46886327862739563,-0.5865960717201233,-0.5325708389282227,-0.6144566535949707,0.04368707537651062
2025-11-25,603757.SH,大元泵业,基础件,0.003323875,36.31,,13,0.1600063592195511,-1.1126065254211426,-0.2785840332508087,-0.2578063905239105,-0.38795849680900574,-0.1546502262353897,-0.25946056842803955,-0.22764509916305542,-0.22380828857421875,-0.1971510648727417,0.33357417583465576
2025-11-25,601919.SH,中远海控,水上运输业,0.0033215894,14.77,,14,-0.26616042852401733,-0.42811793088912964,-0.3967660069465637,-0.6481322646141052,-0.6519452929496765,-0.41395553946495056,-0.3596285879611969,-0.38253387808799744,-0.3408690094947815,-0.33538058400154114,-0.2775203287601471
2025-11-25,601778.SH,晶科科技,电力、热力生产和供应业,0.003155725,3.37,,15,0.11298910528421402,-1.1486544609069824,0.0007621761178597808,-0.5703995227813721,-0.4726884365081787,-0.2641482949256897,-0.35595592856407166,-0.4543267786502838,-0.5671132206916809,-0.33953526616096497,0.043372493237257004
2025-11-25,600690.SH,海尔智家,电气机械和器材制造业,0.0031474247,26.93,,16,-0.09894538670778275,0.14067812263965607,-0.2274324744939804,-0.05298285186290741,-0.6558714509010315,-0.5468182563781738,-0.6360180974006653,-0.3472764492034912,-0.28168144822120667,-0.5169196128845215,0.4613706171512604
2025-11-25,600900.SH,长江电力,电力、热力生产和供应业,0.0031444603,27.82,,17,-0.32947254180908203,-0.2839262783527374,-0.3555189371109009,-0.31784576177597046,-0.6643612384796143,-0.19683094322681427,0.105554960668087,0.4038853347301483,0.36216041445732117,0.5145738124847412,0.043372493237257004
2025-11-25,000006.SZ,深振业Ａ,房地产业,0.0030519417,10.65,,18,0.7225501537322998,-1.3527566194534302,0.18894711136817932,-0.3243640959262848,-0.3473691940307617,-0.3704376220703125,-0.31644347310066223,-0.5084304809570312,-0.39948827028274536,-0.5549495816230774,0.5720309615135193
2025-11-25,002414.SZ,高德红外,计算机、通信和其他电子设备制造业,0.0030193897,12.23,,19,-0.9602674245834351,-0.6581512689590454,-1.0703532695770264,-0.5780927538871765,-0.3770366907119751,0.3245971202850342,0.29131603240966797,0.2268742173910141,0.24724602699279785,0.2854556739330292,1.17429780960083
2025-11-25,600011.SH,华能国际,电力、热力生产和供应业,0.002984251,7.71,,20,0.18388992547988892,-0.4393547475337982,0.03887366130948067,-0.4255756139755249,-0.6380910873413086,-0.21712049841880798,-0.05934133753180504,0.046165596693754196,-0.02373594604432583,0.12681779265403748,0.043372493237257004
2025-11-25,601117.SH,中国化学,土木工程建筑业,0.0029689996,7.34,,21,-0.21587234735488892,-0.8401986360549927,-0.3984440565109253,-0.6465117931365967,-0.5170432925224304,0.37467288970947266,0.44401299953460693,0.3908551037311554,0.16705889999866486,0.6755154132843018,0.06647901982069016
2025-11-25,601717.SH,中创智领,采矿冶金机械,0.0029664799,22.48,,22,0.5902231931686401,-0.4319736361503601,0.5268900990486145,-0.06282033026218414,-0.5564367771148682,0.2512573301792145,-0.27095651626586914,-0.07117506861686707,0.043129414319992065,-0.01284627802670002,0.9196200370788574
2025-11-25,603613.SH,国联股份,互联网和相关服务,0.002916452,27.64,,23,0.4146767556667328,-0.18678458034992218,0.20758160948753357,0.15810425579547882,-0.5311716794967651,0.1641639918088913,0.23672889173030853,0.3938024938106537,0.24206747114658356,0.5557402968406677,1.9298436641693115
2025-11-25,600126.SH,XD杭钢股,黑色金属冶炼和压延加工业,0.0028831856,9.05,,24,0.7424589991569519,-0.7588310837745667,0.8522521257400513,0.1080695316195488,-0.3049641251564026,-0.14226581156253815,0.1517668068408966,-0.07083175331354141,-0.15680736303329468,0.30187880992889404,0.04368707537651062
2025-11-25,601728.SH,中国电信,电信、广播电视和卫星传输服务,0.0028747977,6.83,,25,-0.22353091835975647,-0.027092916890978813,-0.24083682894706726,-0.1321284919977188,-0.7106682062149048,-0.4219299554824829,-0.5302681922912598,-0.26587995886802673,-0.09572555124759674,-0.3957059383392334,0.27229487895965576
2025-11-25,600641.SH,先导基电,房地产业,0.0028718556,16.95,,26,0.9193849563598633,-0.45591306686401367,0.5171602964401245,0.13131529092788696,-0.41040700674057007,-0.11782229691743851,-0.21128524839878082,-0.23418907821178436,-0.4628313481807709,-0.08047270774841309,0.5720309615135193
2025-11-25,000425.SZ,徐工机械,专用设备制造业,0.0028222473,10.3,,27,0.5222588181495667,0.0833185687661171,0.566482663154602,0.17450444400310516,-0.6162846684455872,-0.1409810483455658,-0.050276122987270355,-0.07320888340473175,-0.08483358472585678,-0.008570668287575245,-0.07267872989177704
2025-11-25,600637.SH,东方明珠,电信、广播电视和卫星传输服务,0.002814393,9.79,,28,1.042547583580017,-0.7342902421951294,1.2187860012054443,0.5364211201667786,-0.25294098258018494,0.41045984625816345,0.4936239719390869,0.25469404458999634,0.10787182301282883,0.5946234464645386,0.27229487895965576
2025-11-25,002174.SZ,游族网络,互联网和相关服务,0.002768062,11.97,,29,0.7274828553199768,-0.4383494555950165,0.57510906457901,0.659478485584259,-0.056198254227638245,0.43623271584510803,0.5037065744400024,0.6146788001060486,0.6037556529045105,0.7652403712272644,1.9298436641693115
2025-11-25,600733.SH,北汽蓝谷,汽车制造业,0.002702802,7.71,,30,-0.6454856395721436,-0.6177895069122314,-0.5420158505439758,-0.2423037588596344,-0.42765024304389954,-0.17523284256458282,-0.21896305680274963,-0.0722048208117485,0.06276058405637741,-0.1506783813238144,0.00670868344604969
2025-11-25,000651.SZ,格力电器,电气机械和器材制造业,0.0026783026,39.07,,31,-0.1517229974269867,-0.23187871277332306,-0.21537160873413086,-0.27423933148384094,-0.5997784733772278,0.09232635051012039,-0.10773550719022751,0.22114692628383636,0.18825697898864746,0.2646053731441498,0.4613706171512604
2025-11-25,002600.SZ,领益智造,电子设备与仪器,0.002644991,13.41,,32,0.9312515258789062,-0.17994649708271027,0.657252848148346,0.2745670974254608,-0.4243178963661194,0.0517965704202652,0.32397621870040894,0.439736932516098,0.2460908591747284,0.609895646572113,1.0595988035202026
2025-11-25,601608.SH,中信重工,专用设备制造业,0.0025923238,6.54,,33,-0.5138856172561646,-1.4701822996139526,-0.5551466345787048,-1.306533694267273,-0.5112429261207581,-0.12507013976573944,-0.21941320598125458,-0.44628262519836426,-0.28607791662216187,-0.23259954154491425,-0.07267872989177704
