epoch,train_loss,train_ic,train_daily_ic,valid_loss,valid_mse_loss,valid_pearson_loss,valid_soft_rank_loss,valid_pairwise_loss,valid_ic,valid_daily_ic,valid_top_k_return,valid_hit_rate,valid_excess_return,valid_positive_excess_rate,valid_relative_return,valid_max_drawdown,valid_head_daily_ic,lr,selection_candidate,selection_score
1,0.016649573063451314,0.02645459924691266,0.03673249598530265,0.0016620529349893332,0.0016620529349893332,0.9887468218803406,0.9992764969666799,0.6910511910915375,0.004009287803135091,0.005302130219909799,-0.010064576024888083,0.3333333333333333,-0.010064576046230893,0.3333333333333333,-0.2809448838233948,-0.3412025733839733,-0.14989898989898987,0.0008,0.0,
2,0.002922064705429484,0.04439833809512098,0.05683172728160028,0.001788172870874405,0.001788172870874405,0.9843670129776001,1.00455402135849,0.6924136877059937,0.00729835083066729,0.009549214726635396,-0.015199292883820211,0.43333333333333335,-0.015199292907103276,0.43333333333333335,-0.3837502598762512,-0.42991282850044643,-0.18060606060606058,0.0008,0.0,
3,0.002366197571228235,0.08285158080331874,0.09635930564321527,0.001640353468246758,0.001640353468246758,0.9719114899635315,1.031785289446513,0.6936384359995524,0.03650241663760479,0.03438143637718117,-0.005918362232720634,0.4,-0.005918362230780379,0.4,-0.17630481719970703,-0.21086001933314846,-0.08404040404040404,0.0008,0.0,
4,0.002084432463795559,0.07482900876942908,0.09567063808008285,0.0015922329621389508,0.0015922329621389508,0.9683345556259155,1.0347019533316295,0.6933188498020172,0.023983927451260895,0.03451338571865151,0.001760440191719681,0.5,0.0017604401761976381,0.5,0.04019296169281006,-0.11062008260608969,-0.02464646464646465,0.0008,0.0,
5,0.0019185651541165714,0.08566064608676094,0.10205974027250439,0.001605276484042406,0.001605276484042406,0.9729680418968201,1.0164918144543966,0.6933028101921082,0.017591813652743763,0.017248012658114566,0.0026826214666167895,0.5,0.002682621458855768,0.5,0.062470197677612305,-0.16902531048440528,-0.023434343434343422,0.0008,0.0,
6,0.0018182173452379882,0.08202063264770722,0.09658501905241718,0.0015930125955492258,0.0015930125955492258,0.9627197980880737,1.0312471687793732,0.6929310699303944,0.01791554588130333,0.027367540232329717,0.008361915650311857,0.5333333333333333,0.008361915665833901,0.5333333333333333,0.2526146173477173,-0.18042836877005786,0.043232323232323226,0.0008,0.0,
7,0.0017711274622389348,0.07653755967917171,0.08283035694613639,0.00158644188195467,0.00158644188195467,0.9962424039840698,0.9724612851937612,0.6931272049744924,-0.021471511405197905,-0.02527006357747099,-0.0005412776100759705,0.43333333333333335,-0.0005412776100759705,0.43333333333333335,-0.033050477504730225,-0.22661215975570004,-0.0303030303030303,0.0008,0.0,
8,0.0017256988829567343,0.09471397335152987,0.10193302824985725,0.001594632281921804,0.001594632281921804,0.9603613615036011,1.0311477422714233,0.6929573039213817,0.022485225514985743,0.0265742351288904,0.0057459834963083265,0.5,0.0057459834885473056,0.5,0.16716015338897705,-0.1519732726961105,0.015353535353535366,0.0008,0.0,
9,0.001696819615638237,0.11400094322756607,0.12299624331313734,0.0015765766147524118,0.0015765766147524118,0.9692625999450684,1.0247948050498963,0.6935490449269612,0.026329785699732888,0.02438181679726664,0.007105330057675019,0.6,0.007105330046033487,0.6,0.22256243228912354,-0.13218444838245447,-0.03474747474747474,0.0008,0.0,
10,0.001674219951930992,0.12087804085614633,0.12563427684244483,0.001573684043250978,0.001573684043250978,0.9638956785202026,1.0343848208586375,0.6935170491536459,0.028601804359958728,0.031163030647613336,0.011521432871328821,0.6333333333333333,0.011521432875694397,0.6333333333333333,0.396586537361145,-0.04151215523430518,0.01131313131313132,0.0008,1.0,4.0
